,sepal_length,sepal_width,petal_length,petal_width,petal_area,sepal_area
132,6.4,2.8,5.6,2.2,12.32,17.919999999999998
133,6.3,2.8,5.1,1.5,7.6499999999999995,17.639999999999997
134,6.1,2.6,5.6,1.4,7.839999999999999,15.86
135,7.7,3.0,6.1,2.3,14.029999999999998,23.1
136,6.3,3.4,5.6,2.4,13.44,21.419999999999998
137,6.4,3.1,5.5,1.8,9.9,19.840000000000003
138,6.0,3.0,4.8,1.8,8.64,18.0
139,6.9,3.1,5.4,2.1,11.340000000000002,21.39
140,6.7,3.1,5.6,2.4,13.44,20.77
141,6.9,3.1,5.1,2.3,11.729999999999999,21.39
142,5.8,2.7,5.1,1.9,9.69,15.66
143,6.8,3.2,5.9,2.3,13.57,21.76
144,6.7,3.3,5.7,2.5,14.25,22.11
145,6.7,3.0,5.2,2.3,11.959999999999999,20.1
146,6.3,2.5,5.0,1.9,9.5,15.75
147,6.5,3.0,5.2,2.0,10.4,19.5
148,6.2,3.4,5.4,2.3,12.42,21.08
149,5.9,3.0,5.1,1.8,9.18,17.700000000000003
